Albania	2,877,797	27,400	105
Andorra	77,265	470	164
Antigua and Barbuda	97,929	440	223
Armenia	2,963,243	28,470	104
Austria	9,006,398	82,409	109
Bahamas	393,244	10,010	39
Bangladesh	164,689,383	130,170	1,265
Belarus	9,449,323	202,910	47
Belize	397,628	22,810	17
Bhutan	771,608	38,117	20
Bosnia and Herzegovina	3,280,819	51,000	64
Brazil	212,559,417	8,358,140	25
Bulgaria	6,948,445	108,560	64
Burundi	11,890,784	25,680	463
Cabo Verde	555,987	4,030	138
Cameroon	26,545,863	472,710	56
Central African Republic	4,829,767	622,980	8
Chile	19,116,201	743,532	26
Colombia	50,882,891	1,109,500	46
Congo (Congo-Brazzaville)	5,518,087	341,500	16
Croatia	4,105,267	55,960	73
Cyprus	1,207,359	9,240	131
Democratic Republic of the Congo	89,561,403	2,267,050	40
Djibouti	988,000	23,180	43
Dominican Republic	10,847,910	48,320	225
Egypt	102,334,404	995,450	103
Equatorial Guinea	1,402,985	28,050	50
Estonia	1,326,535	42,390	31
Ethiopia	114,963,588	1,000,000	115
Finland	5,540,720	303,890	18
Gabon	2,225,734	257,670	9
Georgia	3,989,167	69,490	57
Ghana	31,072,940	227,540	137
Grenada	112,523	340	331
Guinea	13,132,795	245,720	53
Guyana	786,552	196,850	4
Holy See	801	0	2,003
Hungary	9,660,351	90,530	107
India	1,380,004,385	2,973,190	464
Iran	83,992,949	1,628,550	52
Ireland	4,937,786	68,890	72
Italy	60,461,826	294,140	206
Japan	126,476,461	364,555	347
Kazakhstan	18,776,707	2,699,700	7
Kiribati	119,449	810	147
Kyrgyzstan	6,524,195	191,800	34
Latvia	1,886,198	62,200	30
Lesotho	2,142,249	30,360	71
Libya	6,871,292	1,759,540	4
Lithuania	2,722,289	62,674	43
Madagascar	27,691,018	581,795	48
Malaysia	32,365,999	328,550	99
Mali	20,250,833	1,220,190	17
Marshall Islands	59,190	180	329
Mauritius	1,271,768	2,030	626
Micronesia	548,914	700	784
Monaco	39,242	1	26,337
Montenegro	628,066	13,450	47
Mozambique	31,255,435	786,380	40
Namibia	2,540,905	823,290	3
Nepal	29,136,808	143,350	203
New Zealand	4,822,233	263,310	18
Niger	24,206,644	1,266,700	19
North Korea	25,778,816	120,410	214
Norway	5,421,241	365,268	15
Pakistan	220,892,340	770,880	287
Palestine State	5,101,414	6,020	847
Papua New Guinea	8,947,024	452,860	20
Peru	32,971,854	1,280,000	26
Poland	37,846,611	306,230	124
Qatar	2,881,053	11,610	248
Russia	145,934,462	16,376,870	9
Saint Kitts and Nevis	53,199	260	205
Saint Vincent and the Grenadines	110,940	390	284
San Marino	33,931	60	566
Saudi Arabia	34,813,871	2,149,690	16
Serbia	8,737,371	87,460	100
Sierra Leone	7,976,983	72,180	111
Slovakia	5,459,642	48,088	114
Solomon Islands	686,884	27,990	25
South Africa	59,308,690	1,213,090	49
South Sudan	11,193,725	610,952	18
Sri Lanka	21,413,249	62,710	341
Suriname	586,632	156,000	4
Switzerland	8,654,622	39,516	219
Tajikistan	9,537,645	139,960	68
Thailand	69,799,978	510,890	137
Togo	8,278,724	54,390	152
Trinidad and Tobago	1,399,488	5,130	273
Turkey	84,339,067	769,630	110
Tuvalu	11,792	30	393
Ukraine	43,733,762	579,320	75
United Kingdom	67,886,011	241,930	281
Uruguay	3,473,730	175,020	20
Vanuatu	307,145	12,190	25
Vietnam	97,338,579	310,070	314
Zambia	18,383,955	743,390	25
